受信メッセージ,分類1,分類2,分類3,分類4
今日は疲れた,感情嫌気,,,
嫌になった,感情嫌気,,,
いやになった,感情嫌気,,,
疲れた,感情倦怠,,,
どんどん,擬態音-どんどん,,,
遊びましょう,勧誘遊び,,,
あそうぼう,勧誘遊び,,,
遊ぼう,勧誘遊び,,,
何でだよ,感情落胆,,,
なんでだよ,感情落胆,,,
こけこっこー,擬声音-鶏の鳴き声,,,
ハイ,再会挨拶,,,
話そう,勧誘会話,,,
お話ししよう,勧誘会話,,,
げんきですか,体調質問,,,
バイバーイ,別れ挨拶,,,
バイバイ,別れ挨拶,,,
はじめまして,初対面挨拶,,,
おはつ,初対面挨拶,,,
初めまして、よろしくお願いします,初対面挨拶,,,
初めまして,初対面挨拶,,,
ハロー,再会挨拶,,,
どきり,擬情語-どきり,,,
ふらり,擬容語-ふらり,,,
のろのろ,擬容語-のろのろ,,,
まいど,仕事挨拶,,,
また明日,別れ挨拶,,,
またね,別れ挨拶,,,
蒸し暑い,気温感想暑い,,,
うろうろ,擬容語-うろうろ,,,
可愛いね,容姿褒め,,,
いいよ,良い評価,,,
やさしい,やさしい態度,,,
嬉しい,感情喜び,,,
楽しい,感情喜び,,,
幸せ,感情喜び,,,
うれしい,感情喜び,,,
よかった,感情共感,,,
おばんです,初対面挨拶,,,
げらげら,擬声音-笑い声,,,
バカ,軽蔑,,,
馬鹿,軽蔑,,,
おばかさん,軽蔑,,,
いらっしやいませ,歓迎挨拶,,,
元気かい,体調質問,,,
今後ともよろしくお願い致します,仕事別れ挨拶,,,
疲れた,感情倦怠,,,
悲しい,感情悲しみ,,,
どうなってるの,感情怒り,,,
どうなってるの,感情怒り,,,
辛い,感情悲しみ,,,
苦しい,感情悲しみ,,,
悲しいね,感情悲しみ,,,
寂しい,感情悲しみ,,,
ガンダムとはなんですか,ガンダム,,,
ガンダムについて教えてください,ガンダム,,,
ガンダムとは,ガンダム,,,
ガンダムは何,ガンダム,,,
ガンダム,ガンダム,,,
ガンダムの特徴は,ガンダム,,,
ガンダムについて教えて,ガンダム,,,
ガンキャノンとはなんですか,ガンダム,,,
ガンキャノンについて教えてください,ガンダム,,,
ガンキャノンとは,ガンダム,,,
ガンキャノンとは何,ガンダム,,,
ガンキャノン,ガンダム,,,
ガンキャノンの特徴は,ガンダム,,,
ガンキャノンついて教えて,ガンダム,,,
ザクとはなんですか,ガンダム,,,
アムロはどんな人ですか,ガンダム,,,
シャアはどんな人ですか,ガンダム,,,
ミライはどんな人ですか,ガンダム,,,
ブライトは指揮官ですか,ガンダム,,,
ミライとブライトは結婚しましたか,ガンダム,,,
ガンダムのパイロットは誰ですか,ガンダム,,,
ドムはなんですか,ガンダム,,,
グフはモビルスーツですか,ガンダム,,,
ゴッグは水陸両用モビルスーツですか,ガンダム,,,
ドムはホバーユニットを装備していますか,ガンダム,,,
ドムの武装には何がありますか,ガンダム,,,
初の水陸両用モビルスーツは何ですか,ガンダム,,,
ドムの地球侵攻を前提にしたモビルスーツですか,ガンダム,,,
アムロはニュータイプですか,ガンダム,,,
ザクはどんなモビルスーツですか,ガンダム,,,
モビルスーツとは何でか,ガンダム,,,
モビルスーツは何でか,ガンダム,,,
モビルスーツについて説明してください,ガンダム,,,
モビルスーツには何がありますか,ガンダム,,,
代表的なモビルスーツを挙げてください,ガンダム,,,
シャーとキャスバルは同じ人ですか,ガンダム,,,
セイラの本名は,ガンダム,,,
セイラが操縦した機体は,ガンダム,,,
ガンダムの頭部を掴んだ武器の名は,ガンダム,,,
ヒート・ロッドを装備するモビルスーツの名前は,ガンダム,,,
ドムのヒートサーベルの威力は,ガンダム,,,
ゲルググの開発経緯を説明してください,ガンダム,,,
ゲグググの設計について解説してください,ガンダム,,,
ゲルググのパイロットは誰,ガンダム,,,
ガンダムとドッキングさせて利用する装備は,ガンダム,,,
ジースカイとは何,ガンダム,,,
メガ粒子砲を搭載したモビルスーツは,ガンダム,,,
中距離支援用モビルスーツの名前は,ガンダム,,,
キャパピラを装備したモビルスーツの名前は,ガンダム,,,
コア・ブロック・システムを持つモビルスーツは,ガンダム,,,
ハロを作った人物は誰,ガンダム,,,
連邦のモビルスーツを列挙せよ,ガンダム,,,
ジオンのモビルスーつを列挙せよ,ガンダム,,,
アイアン・ネイルを装備するモビルスーツの名前は,ガンダム,,,
Ｖ作戦により開発されたモビルスーツの名前は,ガンダム,,,
白兵戦用の連邦のモビルスーツの名前は,ガンダム,,,
ルナ・チタニウム合金を使ったモビルスーツの名前は,ガンダム,,,
２名のパイロットが搭乗する連邦のモビルスーツの名前は,ガンダム,,,
マシンガンを装備しないジオン軍のモビルスーツの名前を挙げよ,ガンダム,,,
７３８機製造されたモビルスーツの名前は,ガンダム,,,
量産型として初のビーム・ライフルを装備したモビルスーツ名前は,ガンダム,,,
二つのパーツに分かれるモビルスーツの名前は,ガンダム,,,
ガンダムのパイロットの名前は,ガンダム,,,
ホワイトベースの館長の名前は,ガンダム,,,
ホワイトベースのパイロットは,ガンダム,,,
赤い彗星の異名を持つ人は,ガンダム,,,
バズーカを装備できる連邦のモビルスーツは,ガンダム,,,
黒い三連星と呼ばれたパイロットが操縦するモビルスーツは,ガンダム,,,
あらら,感情落胆,,,
どうして,感情落胆,,,
えー,感情落胆,,,
はる,呼掛け,挨拶,,
はる,呼掛け,挨拶,,
はるちゃん,呼掛け,挨拶,,
はるちゃん,呼掛け,挨拶,,
はる,呼掛け,挨拶,,
はるさん,呼掛け,挨拶,,
コグニティブ・システムとは,クラウド,,,
コグニティブ・システムとは何ですか,クラウド,,,
コグニティブ・システムとはなんですか,クラウド,,,
コグニティブ・システムについて説明してください,クラウド,,,
コグニティブ・システムについて教えて,クラウド,,,
コグニティブ・システムの特徴を教えてください,クラウド,,,
コグニティブ・システムの特徴を挙げてください,クラウド,,,
コグニティブとは,クラウド,,,
コグニティブとは何ですか,クラウド,,,
コグニティブとはなんですか,クラウド,,,
コグニティブについて説明してください,クラウド,,,
コグニティブについて教えて,クラウド,,,
コグニティブの特徴を教えてください,クラウド,,,
コグニティブの特徴を挙げてください,クラウド,,,
Bluemixとは,クラウド,,,
Bluemixとは何ですか,クラウド,,,
Bluemixとはなんですか,クラウド,,,
Bluemixについて説明してください,クラウド,,,
Bluemixについて教えて,クラウド,,,
Bluemixの特徴を教えてください,クラウド,,,
Bluemixの特徴を挙げてください,クラウド,,,
ワトソンの日本語化された機能,クラウド,,,
ワトソンの日本語対応,クラウド,,,
ワトソンの日本語化機能,クラウド,,,
Watsonの日本語化された機能,クラウド,,,
Watsonの日本語対応,クラウド,,,
Watsonの日本語化機能,クラウド,,,
ワトソンとは,クラウド,,,
ワトソンについて説明してください,クラウド,,,
ワトソンとは何ですか,クラウド,,,
ワトソンとはなんですか,クラウド,,,
ワトソンの特徴を教えてください,クラウド,,,
ワトソンについて教えてください,クラウド,,,
ワトソンについて知りたい,クラウド,,,
ワトソンのことを教えて,クラウド,,,
ワトソンについて話して,クラウド,,,
ワトソンはどんなシステムですか,クラウド,,,
Watsonとは,クラウド,,,
Watsonについて説明してください,クラウド,,,
Watsonとは何ですか,クラウド,,,
Watsonとはなんですか,クラウド,,,
Watsonの特徴を教えてください,クラウド,,,
Watsonについて教えてください,クラウド,,,
Watsonについて知りたい,クラウド,,,
Watsonのことを教えて,クラウド,,,
Watsonについて話して,クラウド,,,
Watsonはどんなシステムですか,クラウド,,,
IBMとはなんですか,クラウド,,,
IBMとはどんな会社ですか,クラウド,,,
IBMについて教えてください,クラウド,,,
IBMについて話してください,クラウド,,,
IBMについて教えて,クラウド,,,
IBMについて話して,クラウド,,,
IBMはどんな会社ですか,クラウド,,,
IBMは何をしている会社ですか,クラウド,,,
IBMは何をしている,クラウド,,,
IBMの事業は,クラウド,,,
IBMの業績は,クラウド,,,
IBMは何の会社ですか,クラウド,,,
IBMはなんの会社ですか,クラウド,,,
アイ・ビー・エムとはなんですか,クラウド,,,
アイ・ビー・エムとはどんな会社ですか,クラウド,,,
アイ・ビー・エムについて教えてください,クラウド,,,
アイ・ビー・エムについて話してください,クラウド,,,
アイ・ビー・エムについて教えて,クラウド,,,
アイ・ビー・エムについて話して,クラウド,,,
アイ・ビー・エムはどんな会社ですか,クラウド,,,
アイ・ビー・エムは何をしている会社ですか,クラウド,,,
アイ・ビー・エムは何をしている,クラウド,,,
アイ・ビー・エムの事業は,クラウド,,,
アイ・ビー・エムの業績は,クラウド,,,
アイ・ビー・エムは何の会社ですか,クラウド,,,
アイ・ビー・エムはなんの会社ですか,クラウド,,,
IBMの創業者は,クラウド,,,
アイ・ビー・エムの創業者は,クラウド,,,
ワトソンは誰ですか,クラウド,,,
ワトソンとは誰,クラウド,,,
ワトソンと言う人物は,クラウド,,,
ワトソンの名前の由来は,クラウド,,,
Watsonは誰ですか,クラウド,,,
Watsonとは誰,クラウド,,,
Watsonと言う人物は,クラウド,,,
Watsonの名前の由来は,クラウド,,,
SoftLayerとはなんですか,クラウド,,,
SoftLayerについて教えてください,クラウド,,,
SoftLayerとは何ですか,クラウド,,,
SoftLayerはクラウドですか,クラウド,,,
SoftLayerについて話して,クラウド,,,
SoftLayerはベアメタルですか,クラウド,,,
SoftLayerは会社ですか,クラウド,,,
SoftLayerはサービスの名前ですか,クラウド,,,
ソフトレイヤーとはなんですか,クラウド,,,
ソフトレイヤーについて教えてください,クラウド,,,
ソフトレイヤーとは何ですか,クラウド,,,
ソフトレイヤーはクラウドですか,クラウド,,,
ソフトレイヤーについて話して,クラウド,,,
ソフトレイヤーはベアメタルですか,クラウド,,,
ソフトレイヤーは会社ですか,クラウド,,,
ソフトレイヤーはサービスの名前ですか,クラウド,,,
Bluemixを無料で試す方法,クラウド,,,
Bluemixを無料で試したい,クラウド,,,
Bluemixを試したい,クラウド,,,
Bluemixを使ってみたい,クラウド,,,
Bluemixを使うには,クラウド,,,
Bluemixのお試し,クラウド,,,
Bluemixの試用,クラウド,,,
Bluemixの申し込み,クラウド,,,
SoftLayerを無料で試す方法,クラウド,,,
SoftLayerを無料で試したい,クラウド,,,
SoftLayerを試したい,クラウド,,,
SoftLayerを使ってみたい,クラウド,,,
SoftLayerを使うには,クラウド,,,
SoftLayerのお試し,クラウド,,,
SoftLayerの試用,クラウド,,,
SoftLayerの申し込み,クラウド,,,
ソフトレイヤーを無料で試す方法,クラウド,,,
ソフトレイヤーを無料で試したい,クラウド,,,
ソフトレイヤーを試したい,クラウド,,,
ソフトレイヤーを使ってみたい,クラウド,,,
ソフトレイヤーを使うには,クラウド,,,
ソフトレイヤーのお試し,クラウド,,,
ソフトレイヤーの試用,クラウド,,,
ソフトレイヤーの申し込み,クラウド,,,
SoftLayer,クラウド,,,
ソフトレイヤー,クラウド,,,
IBM SoftLayer,クラウド,,,
IBM ソフトレイヤー,クラウド,,,
NLC,クラウド,,,
NLCとはなんですか,クラウド,,,
NLCについて教えてください,クラウド,,,
NLCの概要,クラウド,,,
NLCの機能を教えて,クラウド,,,
NLCとは,クラウド,,,
NLCの特徴,クラウド,,,
自然言語分類とは,クラウド,,,
自然言語分類,クラウド,,,
NLCの利用料金は,クラウド,,,
NLCの料金,クラウド,,,
NLCの値段,クラウド,,,
NLCのコスト,クラウド,,,
NLCの技術文書,クラウド,,,
NLCの開発言語,クラウド,,,
NLCの言語ライブラリ,クラウド,,,
NLCの使い方,クラウド,,,
NLCの開発,クラウド,,,
RR,クラウド,,,
RRとはなんですか,クラウド,,,
RRについて教えてください,クラウド,,,
RRの概要,クラウド,,,
RRの機能を教えて,クラウド,,,
RRとは,クラウド,,,
RRの特徴,クラウド,,,
リトリーブ & ランクとは,クラウド,,,
リトリーブ & ランク,クラウド,,,
RRの利用料金は,クラウド,,,
RRの料金,クラウド,,,
RRの値段,クラウド,,,
RRのコスト,クラウド,,,
RRの技術文書,クラウド,,,
RRの開発言語,クラウド,,,
RRの言語ライブラリ,クラウド,,,
RRの使い方,クラウド,,,
RRの開発,クラウド,,,
Retrieve and Rank,クラウド,,,
Retrieve and Rankとはなんですか,クラウド,,,
Retrieve and Rankについて教えてください,クラウド,,,
Retrieve and Rankの概要,クラウド,,,
Retrieve and Rankの機能を教えて,クラウド,,,
Retrieve and Rankとは,クラウド,,,
Retrieve and Rankの特徴,クラウド,,,
Retrieve and Rankの利用料金は,クラウド,,,
Retrieve and Rankの料金,クラウド,,,
Retrieve and Rankの値段,クラウド,,,
Retrieve and Rankのコスト,クラウド,,,
Retrieve and Rankの技術文書,クラウド,,,
Retrieve and Rankの開発言語,クラウド,,,
Retrieve and Rankの言語ライブラリ,クラウド,,,
Retrieve and Rankの使い方,クラウド,,,
Retrieve and Rankの開発,クラウド,,,
Dialog,クラウド,,,
Dialogとはなんですか,クラウド,,,
Dialogについて教えてください,クラウド,,,
Dialogの概要,クラウド,,,
Dialogの機能を教えて,クラウド,,,
Dialogとは,クラウド,,,
Dialogの特徴,クラウド,,,
対話機能とは,クラウド,,,
対話機能,クラウド,,,
Dialogの利用料金は,クラウド,,,
Dialogの料金,クラウド,,,
Dialogの値段,クラウド,,,
Dialogのコスト,クラウド,,,
Dialogの技術文書,クラウド,,,
Dialogの開発言語,クラウド,,,
Dialogの言語ライブラリ,クラウド,,,
Dialogの使い方,クラウド,,,
Dialogの開発,クラウド,,,
ダイアログ,クラウド,,,
ダイアログとはなんですか,クラウド,,,
ダイアログについて教えてください,クラウド,,,
ダイアログの概要,クラウド,,,
ダイアログの機能を教えて,クラウド,,,
ダイアログとは,クラウド,,,
ダイアログの特徴,クラウド,,,
ダイアログの利用料金は,クラウド,,,
ダイアログの料金,クラウド,,,
ダイアログの値段,クラウド,,,
ダイアログのコスト,クラウド,,,
ダイアログの技術文書,クラウド,,,
ダイアログの開発言語,クラウド,,,
ダイアログの言語ライブラリ,クラウド,,,
ダイアログの使い方,クラウド,,,
ダイアログの開発,クラウド,,,
Conversation,クラウド,,,
Conversationとはなんですか,クラウド,,,
Conversationについて教えてください,クラウド,,,
Conversationの概要,クラウド,,,
Conversationの機能を教えて,クラウド,,,
Conversationとは,クラウド,,,
Conversationの特徴,クラウド,,,
Conversationの利用料金は,クラウド,,,
Conversationの料金,クラウド,,,
Conversationの値段,クラウド,,,
Conversationのコスト,クラウド,,,
Conversationの技術文書,クラウド,,,
Conversationの開発言語,クラウド,,,
Conversationの言語ライブラリ,クラウド,,,
Conversationの使い方,クラウド,,,
Conversationの開発,クラウド,,,
会話機能,クラウド,,,
会話機能とはなんですか,クラウド,,,
会話機能について教えてください,クラウド,,,
会話機能の概要,クラウド,,,
会話機能の機能を教えて,クラウド,,,
会話機能とは,クラウド,,,
会話機能の特徴,クラウド,,,
会話機能の利用料金は,クラウド,,,
会話機能の料金,クラウド,,,
会話機能の値段,クラウド,,,
会話機能のコスト,クラウド,,,
会話機能の技術文書,クラウド,,,
会話機能の開発言語,クラウド,,,
会話機能の言語ライブラリ,クラウド,,,
会話機能の使い方,クラウド,,,
会話機能の開発,クラウド,,,
クラウダント,クラウド,,,
クラウダントとはなんですか,クラウド,,,
クラウダントについて教えてください,クラウド,,,
クラウダントの概要,クラウド,,,
クラウダントの機能を教えて,クラウド,,,
クラウダントとは,クラウド,,,
クラウダントの特徴,クラウド,,,
クラウダントの利用料金は,クラウド,,,
クラウダントの料金,クラウド,,,
クラウダントの値段,クラウド,,,
クラウダントのコスト,クラウド,,,
クラウダントの技術文書,クラウド,,,
クラウダントの開発言語,クラウド,,,
クラウダントの言語ライブラリ,クラウド,,,
クラウダントの使い方,クラウド,,,
クラウダントの開発,クラウド,,,
Cloudant,クラウド,,,
Cloudantとはなんですか,クラウド,,,
Cloudantについて教えてください,クラウド,,,
Cloudantの概要,クラウド,,,
Cloudantの機能を教えて,クラウド,,,
Cloudantとは,クラウド,,,
Cloudantの特徴,クラウド,,,
Cloudantの利用料金は,クラウド,,,
Cloudantの料金,クラウド,,,
Cloudantの値段,クラウド,,,
Cloudantのコスト,クラウド,,,
Cloudantの技術文書,クラウド,,,
Cloudantの開発言語,クラウド,,,
Cloudantの言語ライブラリ,クラウド,,,
Cloudantの使い方,クラウド,,,
Cloudantの開発,クラウド,,,
Visual Recognition,クラウド,,,
Visual Recognitionとはなんですか,クラウド,,,
Visual Recognitionについて教えてください,クラウド,,,
Visual Recognitionの概要,クラウド,,,
Visual Recognitionの機能を教えて,クラウド,,,
Visual Recognitionとは,クラウド,,,
Visual Recognitionの特徴,クラウド,,,
Visual Recognitionの利用料金は,クラウド,,,
Visual Recognitionの料金,クラウド,,,
Visual Recognitionの値段,クラウド,,,
Visual Recognitionのコスト,クラウド,,,
Visual Recognitionの技術文書,クラウド,,,
Visual Recognitionの開発言語,クラウド,,,
Visual Recognitionの言語ライブラリ,クラウド,,,
Visual Recognitionの使い方,クラウド,,,
Visual Recognitionの開発,クラウド,,,
画像認識,クラウド,,,
画像認識とはなんですか,クラウド,,,
画像認識について教えてください,クラウド,,,
画像認識の概要,クラウド,,,
画像認識の機能を教えて,クラウド,,,
画像認識とは,クラウド,,,
画像認識の特徴,クラウド,,,
画像認識の利用料金は,クラウド,,,
画像認識の料金,クラウド,,,
画像認識の値段,クラウド,,,
画像認識のコスト,クラウド,,,
画像認識の技術文書,クラウド,,,
画像認識の開発言語,クラウド,,,
画像認識の言語ライブラリ,クラウド,,,
画像認識の使い方,クラウド,,,
画像認識の開発,クラウド,,,
VR,クラウド,,,
VRとはなんですか,クラウド,,,
VRについて教えてください,クラウド,,,
VRの概要,クラウド,,,
VRの機能を教えて,クラウド,,,
VRとは,クラウド,,,
VRの特徴,クラウド,,,
VRの利用料金は,クラウド,,,
VRの料金,クラウド,,,
VRの値段,クラウド,,,
VRのコスト,クラウド,,,
VRの技術文書,クラウド,,,
VRの開発言語,クラウド,,,
VRの言語ライブラリ,クラウド,,,
VRの使い方,クラウド,,,
VRの開発,クラウド,,,
